comment,topic
fix anies yang paling realistis,Ide dan gagasan yang realistis
"al in for anies baswedan. semua gagasan lengkap dibahas secara lugas, terstruktur dan intelektual",Ide dan gagasan yang realistis
"setelah melihat mendengar semua ide gagasan dari semu bacapres, ide gagasanya pak anies lah yang paling masuk akal",Ide dan gagasan yang realistis
"anis terlalu pintar untuk teori, tp pelaksananya nol besar manusia plin plan",Ide dan gagasan yang realistis
pak anies paling on point menjawab semua pertanyan. ide dan gagasanya juga di paparkan dengan baik.,Ide dan gagasan yang realistis
anis yg saya rasa lebih realistis,Ide dan gagasan yang realistis
pak anies ide dan gagasanya top markotop.al in untuk pak anies👍,Ide dan gagasan yang realistis
dari semua steatment yg saya rangkum cuma anies baswedan yg paling menonjol dan fokus pada gagasan,Ide dan gagasan yang realistis
saya juga pak anies lebih literasi penjelasanya,Ide dan gagasan yang realistis
anies lebih masuk akal,Ide dan gagasan yang realistis
"soal ide dan gagasan kalo semua akademisi jujur menilai , gagasan pak anis yg lebih realistis",Ide dan gagasan yang realistis
"pak anis yang paling halu, kenapa? itu hanya gagasan dan ide ide harapan tanpa gerakan atau bukti konkrit yang sudah dilakukan.
tapi pak prabowo memaparkan gagasan dan bukti konkrit dari yang sudah dilakukan.",Ide dan gagasan yang realistis
"anies baswedan paling berbobot gagasanya, yang lain medioker",Ide dan gagasan yang realistis
"paling spaneng liat pak anies, jelas dan bikin wawasan semakin luas njir..",Ide dan gagasan yang realistis
"orang punya gagasan bagus kayak anies, diframing cuma pinter ngomong tapi ga bisa kerja dl. orang ga punya gagasan dan prestasi malah maksa ditingi tingin. heran sama sebagian ""rakyat"".",Ide dan gagasan yang realistis
"pak ganjar emang sgt berkualitas, sederhana, bersahaja,& ngak jlimet gagasan & visi misnya,beda sama anis yg jlimet muter2 & prabowo yg jualan janji",Ide dan gagasan yang realistis
"si anies mah kalau urusan gagasan memang pinter karena mantan dosen tapi kurang terampil di action nya, kalau ganjar kebalikanya, nah kita kalau mau bikin jalan itu apa perlu gagasan saja ?",Ide dan gagasan yang realistis
"setelah nonton ini saya lebih suka kepada argumen pak anies lebih realistis,,",Ide dan gagasan yang realistis
gagasan yang disampaikan oleh bapak anies menurut saya yang lebih make sense karena merujuk ke dasar dan sumber utamanya,Ide dan gagasan yang realistis
haha anies ngibul doang haha semua gagasan cuma kata kata,Ide dan gagasan yang realistis
gagasan pak anis lebih meyakinkan..,Ide dan gagasan yang realistis
lebih bagus gagasan anis,Ide dan gagasan yang realistis
anis urus dki sj ga beres. apa prestasinya. bukan gagasan. action,Ide dan gagasan yang realistis
bisa dilihat dari debat hari ini siapa yg ada isi otak nya👍🏻👍🏻👍🏻secara objektif anies lebih logis dan terstruktur,Ide dan gagasan yang realistis
cuma anis yg pakai otak original yg lain power poind sama kertas wkwkwkwk,Ide dan gagasan yang realistis
"anis terlalu utopis,,,jdi agak ragu,",Ide dan gagasan yang realistis
gagasan pak anies seperti mau nyalon cagub lagi,Ide dan gagasan yang realistis
"anis hanya omong kosong 
ganjar pranowo gagasan dan implementasi nyata
prabowo gak jelas",Ide dan gagasan yang realistis
"wowo dan anis baru gagasan doang, pak ganjar udah melakukan yg mereka berdua baru gagasan",Ide dan gagasan yang realistis
nanti urutanya kalau ada pemaparan gagasan jgn anis lg yg dahuluan ..coba yg lain,Ide dan gagasan yang realistis
"gagasan pak anis lebih mudah di pahami , dari cara jawab nya pun udah di luar kepala semua sampe mba nana tidak mendalami pertanyan awal karna sudah jelas jawaban nya to the point",Ide dan gagasan yang realistis
"penjelasan anies lebih realitis, saya pilih anies",Ide dan gagasan yang realistis
anis dunk gagasan nya jelas..,Ide dan gagasan yang realistis
"anis baswedan bagus dalam gagasan, perlu direalisasikan dgn bijak gagasanya
ganjar banyak teori yg keluar, terlalu umum gagasanya
pak prabowo, ya gitu😂",Ide dan gagasan yang realistis
penjelasan gagasan  anies lebih mudah d pahami oleh masyarakat umum,Ide dan gagasan yang realistis
pak anis sangat lbih dominan menyampaikan gagasan serta lugas.,Ide dan gagasan yang realistis
